JURISDICTION_CODE,name,,,
2,Housing,,,
0,Patrol,,,
0,Patrol,,,
2,Housing,,,
2,Housing,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
2,,,,
0,,,,
0,,,,
2,,,,
